timestamp,epoch,shares_found,shares_total,it_s,avg_it_s
2026-05-09 19:28:47,212,66,66,13958650,8270215
2026-05-09 19:28:48,212,66,66,0,8244266
2026-05-09 19:28:49,212,66,66,0,8209255
2026-05-09 19:28:50,212,66,66,0,8166362
2026-05-09 19:28:51,212,66,66,0,8113291
2026-05-09 19:28:52,212,66,66,0,8050163
2026-05-09 19:28:53,212,66,66,0,7976210
2026-05-09 19:28:54,212,66,66,144573,7793039
2026-05-09 19:28:55,212,66,66,810429,7620177
2026-05-09 19:28:56,212,66,66,1483453,7455780
2026-05-09 19:28:57,212,66,66,2103383,7385354
2026-05-09 19:28:58,212,66,66,2827812,7326165
2026-05-09 19:28:59,212,66,66,3542871,7277662
2026-05-09 19:29:00,212,66,66,4212516,7238862
2026-05-09 19:29:01,212,66,66,4973808,7210549
2026-05-09 19:29:02,212,66,66,5664752,7191465
2026-05-09 19:29:03,212,66,66,6377866,7181543
2026-05-09 19:29:04,212,66,66,7084016,7267408
2026-05-09 19:29:05,212,66,66,7735550,7353609
2026-05-09 19:29:06,212,66,66,8437144,7440683
2026-05-09 19:29:07,212,66,66,9142475,7529202
2026-05-09 19:29:08,212,66,66,9796658,7617964
2026-05-09 19:29:09,212,66,66,10488574,7707554
2026-05-09 19:29:10,212,66,66,11200715,7797428
2026-05-09 19:29:11,212,66,66,11923813,7887503
2026-05-09 19:29:12,212,66,66,12606770,7978520
2026-05-09 19:29:13,212,66,66,13324440,8069803
2026-05-09 19:29:14,212,66,66,13831694,8158040
2026-05-09 19:29:15,212,66,66,13783617,8237392
2026-05-09 19:29:16,212,66,66,13721306,8309033
2026-05-09 19:29:17,212,66,66,13799233,8373570
2026-05-09 19:29:18,212,66,66,13739226,8428494
2026-05-09 19:29:20,212,66,66,13739226,8428494
2026-05-09 19:29:21,212,66,66,13739226,8428494
2026-05-09 19:29:22,212,66,66,13739226,8428494
2026-05-09 19:29:23,212,66,66,0,8409873
2026-05-09 19:29:24,212,66,66,0,8382199
2026-05-09 19:29:25,212,66,66,0,8344091
2026-05-09 19:29:26,212,66,66,0,8296664
2026-05-09 19:29:27,212,66,66,0,8239038
2026-05-09 19:29:28,212,66,66,0,8170618
2026-05-09 19:29:29,212,66,66,0,8099627
2026-05-09 19:29:30,212,66,66,0,8026735
2026-05-09 19:29:31,212,66,66,498714,7926361
2026-05-09 19:29:32,212,66,66,1225293,7838189
2026-05-09 19:29:33,212,66,66,1916647,7761286
2026-05-09 19:29:34,212,66,66,2681728,7696164
2026-05-09 19:29:35,212,66,66,3411725,7641930
2026-05-09 19:29:36,212,66,66,4088640,7597514
2026-05-09 19:29:37,212,66,66,4704166,7655471
2026-05-09 19:29:38,212,66,66,5426342,7712747
2026-05-09 19:29:39,212,66,66,6157632,7770604
2026-05-09 19:29:40,212,66,66,6885338,7828824
2026-05-09 19:29:41,212,66,66,7655488,7888243
2026-05-09 19:29:42,212,66,66,8378842,7947704
2026-05-09 19:29:43,212,66,66,9136499,8007961
2026-05-09 19:29:44,212,66,66,9850281,8068261
2026-05-09 19:29:45,212,66,66,10527862,8127519
2026-05-09 19:29:46,212,66,66,11220752,8187461
2026-05-09 19:29:47,212,66,66,11864489,8247046
2026-05-09 19:29:48,212,66,66,12550109,8307243
2026-05-09 19:29:49,212,66,66,13309558,8369683
2026-05-09 19:29:50,212,66,66,13948534,8433159
2026-05-09 19:29:51,212,66,66,14144399,8491341
2026-05-09 19:29:54,212,66,66,14144399,8491341
2026-05-09 19:29:55,212,66,66,14144399,8491341
2026-05-09 19:29:56,212,66,66,14144399,8491341
2026-05-09 19:29:57,212,66,66,0,8469678
2026-05-09 19:29:58,212,66,66,0,8438329
2026-05-09 19:29:59,212,66,66,0,8397171
2026-05-09 19:30:00,212,66,66,0,8346971
2026-05-09 19:30:01,212,66,66,0,8286620
2026-05-09 19:30:02,212,66,66,0,8215701
2026-05-09 19:30:03,212,66,66,181902,8037072
2026-05-09 19:30:04,212,66,66,895374,7868439
2026-05-09 19:30:05,212,66,66,1630657,7709491
2026-05-09 19:30:06,212,66,66,2300456,7637370
2026-05-09 19:30:07,212,66,66,2897192,7575000
2026-05-09 19:30:08,212,66,66,3565915,7522934
2026-05-09 19:30:09,212,66,66,4302427,7481645
2026-05-09 19:30:10,212,66,66,4948571,7449581
2026-05-09 19:30:11,212,66,66,5657025,7427174
2026-05-09 19:30:12,212,66,66,6383349,7506616
2026-05-09 19:30:13,212,66,66,7085813,7586194
2026-05-09 19:30:14,212,66,66,7763137,7664961
2026-05-09 19:30:15,212,66,66,8411790,7743000
2026-05-09 19:30:16,212,66,66,8999771,7818912
2026-05-09 19:30:17,212,66,66,9756609,7895662
2026-05-09 19:30:18,212,66,66,10465832,7972947
